Won,HomeCourt,HomePointDiff,HomeFT,Home2pt,Home3pt,Def2pt,Def3pt,AwayPointDiff,AwayFT,Away2pt,Away3pt,OppDef2pt,OppDef3pt
0,1,-8,19,58,33,561,373,3,20,59,40,561,367
0,1,-1,20,66,31,556,345,3,17,55,43,516,344
1,1,0,17,62,35,543,353,0,17,62,35,543,353
1,1,2,17,60,37,508,370,0,18,64,32,559,353
1,1,-3,20,59,32,570,347,4,17,63,37,563,348
1,1,3,20,56,38,554,347,2,20,58,36,532,346
0,1,2,20,63,33,568,340,6,18,59,35,524,364
1,1,0,18,55,35,560,366,-8,19,58,33,562,372
1,1,6,19,52,47,531,352,-7,18,62,32,558,364
0,1,0,18,55,38,538,361,3,17,55,43,515,345
0,1,3,20,60,40,562,369,1,20,49,44,555,356
1,1,-8,21,56,35,578,356,-10,16,65,31,575,398
0,1,1,19,61,33,573,370,0,19,56,43,550,357
0,1,-2,18,54,42,539,368,0,17,62,35,543,351
0,1,0,20,56,38,554,366,1,18,63,37,542,358
1,1,4,18,64,34,515,355,0,18,62,36,535,371
0,1,2,17,60,38,510,367,4,20,56,38,555,347
1,1,6,18,59,35,524,364,0,18,64,31,557,353
1,1,-0,18,61,34,524,353,-2,19,54,41,539,367
0,1,-7,18,62,32,558,365,4,17,63,37,563,348
1,1,1,17,62,35,543,351,-10,16,65,32,574,394
1,1,2,20,58,36,534,346,0,19,56,43,549,357
0,1,0,16,53,50,547,365,-1,20,66,31,558,344
1,1,2,20,60,40,561,370,1,20,49,44,557,355
0,1,-3,20,59,32,570,346,0,18,55,35,559,364
1,1,1,20,61,33,574,368,-8,21,56,35,576,356
1,1,6,18,52,47,531,352,4,18,64,34,515,356
0,1,0,19,55,35,557,364,4,17,64,36,563,346
1,1,-7,18,62,32,558,363,1,17,62,35,543,350
0,1,0,18,64,31,557,351,-3,20,59,32,569,345
0,1,1,18,63,37,545,359,2,20,63,33,570,340
1,1,4,20,56,38,554,347,-8,19,58,33,561,371
1,1,6,18,59,35,525,362,-10,16,65,32,573,394
0,1,-3,18,54,41,542,369,0,19,56,42,548,357
1,1,0,16,53,50,546,364,-0,18,61,34,524,353
1,1,2,20,58,36,536,345,2,17,60,38,510,365
1,1,0,20,56,39,555,368,-1,20,66,31,557,342
0,1,1,19,49,44,559,353,0,18,61,36,537,372
